num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
879	1103.292366	76.759794	14.864139	4.638404	60.829742
881	1105.377050	76.652482	14.816012	4.641598	58.544529
883	1107.463107	76.542595	14.774302	4.644152	60.033429
885	1109.547510	76.421086	14.710832	4.645723	58.642264
887	1111.634467	76.406962	14.667509	4.649098	59.189831
889	1113.717389	76.454847	14.612314	4.652380	62.042199
891	1115.804017	76.391418	14.666242	4.654869	59.739048
893	1117.886600	76.331355	14.562075	4.657018	62.886249
895	1119.971580	76.117706	14.421826	4.655519	59.556920
897	1122.055403	76.072377	14.455655	4.659628	61.711282
899	1124.139220	75.973845	14.368855	4.658447	60.244418
903	1128.307750	75.750910	14.302896	4.661771	58.353039
905	1130.392669	75.669344	14.286278	4.666714	60.792181
907	1132.478186	75.341329	14.104271	4.666140	58.040617
909	1134.563770	75.308304	14.049394	4.668523	59.392038
913	1138.735123	75.252095	13.997069	4.674040	58.879697
915	1140.819604	75.174352	13.947832	4.677833	62.185201
917	1142.905435	75.077868	13.858729	4.677481	58.885930
919	1144.989699	75.088186	13.860669	4.681463	60.410905
923	1149.158878	74.876180	13.725623	4.685606	59.634050
925	1151.242735	74.731626	13.646236	4.686851	59.034191
927	1153.328201	74.777854	13.683143	-1.592796	58.091852
929	1155.412011	74.553607	13.639052	-1.589381	59.431635
931	1163.506070	8.394001	-1.771137	1.135054	2.763322
933	1165.922969	74.285099	1.682187	1.559582	70.781759
935	1168.007974	73.995855	1.590116	1.559502	61.618038
937	1170.092967	73.879622	1.515117	1.557602	62.194877
939	1172.178311	73.824029	1.510439	1.559437	63.111121
943	1176.349447	73.581750	1.452211	1.557924	61.094902
945	1178.433920	73.533372	1.402686	1.558518	64.427742
949	1182.603946	73.377500	1.389911	1.558152	60.954313
951	1184.687630	25.383499	1.727037	1.588487	60.980970
953	1189.139102	64.372598	6.256146	-1.476165	65.927876
957	1193.308383	72.985704	4.149742	-1.544543	60.897433
959	1195.881089	53.488055	3.839622	-1.216751	6.795967
963	1200.812745	73.672687	0.920516	-1.541727	61.414849
965	1202.899723	75.603746	0.624944	-1.560295	68.197400
967	1206.820177	8.612437	-1.218703	1.544874	6.747332
973	1213.484761	77.739403	1.023081	-1.594467	69.158246
975	1215.568115	77.658962	1.002240	-1.594888	69.986883
977	1217.564641	74.591303	10.153464	-1.566016	57.756091
981	1221.734651	75.946051	13.192463	-1.605474	54.447216
983	1224.006958	64.684374	4.623686	-1.299037	8.354138
985	1226.395808	4.848113	-1.540523	1.873579	9.547541
987	1233.860688	58.249695	1.457264	-1.549405	51.830192
989	1237.150329	56.548724	8.216427	-1.522423	46.062300
991	1238.781937	0.140797	4.528114	3.079492	3.065033
993	1243.471616	62.560584	2.882345	4.705832	61.007358
995	1245.556745	70.209171	2.239441	4.682153	57.302292
999	1249.650509	65.675893	6.385350	-1.583011	50.546829
1001	1251.735974	66.599049	8.001189	-1.596225	50.331909
1003	1253.820107	66.547457	7.977066	-1.594645	51.507574
1005	1255.905487	66.474326	7.903830	-1.593827	49.344752
1007	1257.990418	66.337568	7.846246	-1.593272	49.491667
1009	1260.022239	66.468807	14.731855	-1.598792	42.857507
1011	1262.107961	67.545389	17.418354	4.639715	42.102703
1013	1264.193517	67.493573	17.331409	4.641938	44.193511
1015	1266.279190	67.431167	17.312508	4.645835	43.362537
1019	1270.450212	67.342947	17.171038	4.650598	41.892091
1021	1272.537134	67.242931	17.109139	4.651430	42.370606
