time (s)	det(V)
4494.225506	-0.333898	
4494.227506	-0.251827	
4494.229506	-0.171928	
4494.231506	-0.070367	
4494.235508	0.006628	
4494.237506	0.184708	
4494.239505	0.263359	
4494.241506	0.345414	
4494.243506	0.434257	
4494.247505	0.513364	
4494.249506	0.684484	
4494.251505	0.756650	
4494.255506	0.845962	
4494.257506	1.004085	
4494.259506	1.093354	
4494.261505	1.167938	
4494.263506	1.244153	
4494.265506	1.321890	
4494.269507	1.382040	
4494.273506	1.532561	
4494.275508	1.620887	
4494.277506	1.621672	
4494.279506	1.621750	
4494.281506	1.621774	
4494.285505	1.621795	
4494.287508	1.621773	
4494.289506	1.621748	
4494.291506	1.621740	
4494.293507	1.621740	
4494.295506	1.621695	
4494.297506	1.621738	
4494.299506	1.621743	
4494.301506	1.621712	
4494.303506	1.621744	
4494.305506	1.621792	
4494.307506	1.621752	
4494.311506	1.621791	
4494.313506	1.621708	
4494.315506	1.621757	
4494.317506	1.621780	
4494.319506	1.621733	
4494.321506	1.621726	
4494.325505	1.621783	
4494.327506	1.621787	
4494.329506	1.621776	
4494.333506	1.621772	
4494.335506	1.621736	
4494.337512	1.621755	
4494.339506	1.621761	
4494.341506	1.621757	
4494.343506	1.621772	
4494.347506	1.621809	
4494.351506	1.621737	
4494.353506	1.621741	
4494.355506	1.621761	
4494.357506	1.621753	
4494.359506	1.621757	
4494.363505	1.621720	
4494.365506	1.621739	
4494.367505	1.621740	
4494.369506	1.621709	
4494.371508	1.621703	
4494.373507	1.621733	
4494.375506	1.621772	
4494.377506	1.621736	
4494.379506	1.621774	
4494.381506	1.621730	
4494.383506	1.621734	
4494.385506	1.621782	
4494.387506	1.621776	
4494.391506	1.621733	
4494.393506	1.621758	
4494.395506	1.621768	
4494.397506	1.621764	
4494.399506	1.621753	
4494.403505	1.621743	
4494.405506	1.621729	
4494.407505	1.621772	
4494.411506	1.621720	
4494.413507	1.621698	
4494.415506	1.621672	
4494.417508	1.621193	
4494.419506	1.619522	
4494.421506	1.595393	
4494.425506	1.529523	
4494.429506	1.450022	
4494.431505	1.378395	
4494.433507	1.334537	
4494.435506	1.290589	
4494.437506	1.259293	
4494.441505	1.219217	
4494.443508	1.146711	
4494.445505	1.108468	
4494.447508	1.076106	
4494.449506	1.052229	
4494.451506	1.013782	
4494.453506	0.984856	
4494.455507	0.949980	
4494.457506	0.914546	
4494.459506	0.896236	
4494.461506	0.859966	
4494.463505	0.832506	
4494.465507	0.810660	
4494.469507	0.779393	
4494.471506	0.734332	
4494.473506	0.695802	
4494.475506	0.682941	
4494.477506	0.658832	
4494.481505	0.635558	
4494.483506	0.592207	
4494.485506	0.568662	
4494.489506	0.550175	
4494.491508	0.508922	
4494.493505	0.498238	
4494.495505	0.476258	
4494.497505	0.461945	
4494.499506	0.454341	
4494.501506	0.427343	
4494.505506	0.411857	
4494.507508	0.373651	
4494.509508	0.371766	
4494.511506	0.358411	
4494.513506	0.349702	
4494.515506	0.343206	
4494.517506	0.321160	
4494.519506	0.309941	
4494.521508	0.296109	
4494.523506	0.271065	
4494.527505	0.266480	
4494.529507	0.246114	
4494.531506	0.250013	
4494.533506	0.237473	
4494.535505	0.222188	
4494.537506	0.217391	
4494.541506	0.203913	
4494.543505	0.186199	
4494.545506	0.174057	
4494.549507	0.171613	
4494.551506	0.160466	
4494.553506	0.156166	
4494.555506	0.144561	
4494.557506	0.134000	
4494.559506	0.138785	
4494.563506	0.126770	
4494.567506	0.124482	
4494.569505	0.111448	
4494.571506	0.110479	
4494.573505	0.091009	
4494.575506	0.095636	
4494.579506	0.096440	
4494.581506	0.089666	
4494.583506	0.082419	
4494.585506	0.074688	
4494.587508	0.076279	
4494.589506	0.070832	
4494.591506	0.065087	
4494.593506	0.068614	
4494.595506	0.064455	
4494.597506	0.066207	
4494.599508	0.063967	
4494.601506	0.050979	
4494.605506	0.053721	
4494.607506	0.040800	
4494.609506	0.050990	
4494.611505	0.048204	
4494.613506	0.046654	
4494.615506	0.053461	
4494.619505	0.045479	
4494.621505	0.037144	
4494.623506	0.023686	
4494.627506	0.030446	
4494.629506	0.032585	
4494.631505	0.043877	
4494.633506	0.036594	
4494.635506	0.031072	
4494.637506	0.033901	
4494.641506	0.022718	
4494.645506	0.021811	
4494.647505	0.025001	
4494.649506	0.032438	
4494.651506	0.020078	
4494.653506	0.020500	
4494.657506	0.018611	
4494.659506	0.013466	
4494.661506	0.008980	
4494.663506	0.009695	
4494.665506	0.020151	
4494.667506	0.013942	
4494.669506	0.011579	
4494.671506	0.014117	
4494.673506	0.000110	
4494.675507	0.009276	
4494.677507	0.006733	
4494.679506	-0.000056	
4494.683506	0.005694	
4494.685506	0.003930	
4494.687506	0.008919	
4494.689507	0.001596	
4494.691506	-0.001682	
4494.693506	0.007019	
4494.695506	0.001404	
4494.697506	-0.003256	
4494.699506	0.003755	
4494.701505	-0.005853	
4494.705506	-0.004215	
4494.707506	-0.009305	
4494.709506	0.001521	
4494.711507	-0.002621	
4494.713506	-0.003016	
4494.717505	0.007039	
4494.719506	-0.006322	
4494.721506	-0.004777	
4494.725506	-0.017560	
4494.727505	-0.000625	
4494.729506	-0.005225	
4494.731505	0.003356	
4494.733507	0.001300	
4494.737505	-0.002310	
4494.739506	-0.009969	
4494.743506	-0.013892	
4494.745506	-0.002808	
4494.747506	-0.001061	
4494.749506	0.007999	
4494.751506	-0.003770	
4494.755505	0.000763	
4494.757505	-0.014762	
4494.759505	-0.004235	
4494.763506	-0.006021	
4494.765506	0.008922	
4494.767506	0.000953	
4494.769506	-0.002765	
4494.771506	0.002154	
